Name,Address,phone_number,Contact,email,zip,contacted,geometry,dist_label,closed,mou_sign_date,lon,lat
TEEN LIVING PROGRAMS,"180 N Michigan Ave, Ste 1900",312-568-5700,Jeri Linas,NA,NA,FALSE,"c(-87.6248892, 41.8855045)",1ST,FALSE,07/10/2019,-87.6248892,41.8855045
Thompson Karate Academy Fdn,"1400 Chicago Rd, Chicago Heights, IL 60411",520-815-9094,NA,NA,60411,FALSE,"c(-87.6418491, 41.5056938)",NA,FALSE,07/10/2019,-87.6418491,41.5056938
UNION LEAGUE BOYS & GIRLS CLUB,"1100 S Hamilton Ave, Chicago, IL 60612",773-615-3466,"Hector Perez, VP of Club Serv",NA,60612,FALSE,"c(-87.6810801, 41.8676684)",12TH,FALSE,07/10/2019,-87.68108010000002,41.8676684
WESTSIDE ASSOCIATION FOR COMM ACTION Fdn,"3600 W OGDEN AVE, CHICAGO, IL 60623",773-277-4400,"Lola Jenkins, Principal Officer",NA,60623,FALSE,"c(-87.7152707, 41.854677)",10TH,FALSE,07/10/2019,-87.7152707,41.854677
Lawndale Clinic,"5122 S Archer Ave, Chicago, IL 60632",872-588-3560,Bruce Miller,NA,60632,FALSE,"c(-87.7303633, 41.8007599)",8TH,FALSE,07/10/2019,-87.7303633,41.8007599
BEATRICE CAFFREY COUNSELING,"4924 S King Dr, Chicago, IL 60615",773-487-8644,NA,NA,60615,FALSE,"c(-87.6170405, 41.8048693)",2ND,FALSE,07/10/2019,-87.6170405,41.8048693
BELOVED COMMUNITY FAMILY SERVICES,"6430 S Harvard Ave, Chicago, IL 60621",773-488-9065,NA,NA,60621,FALSE,"c(-87.6338186, 41.7771158)",7TH,FALSE,07/10/2019,-87.6338186,41.7771158
Cosmopolitan Community Church,"5249 S Wabash Ave, Chicago, IL 60615",773-536-3613,NA,NA,60615,FALSE,"c(-87.6237, 41.798617)",2ND,FALSE,07/10/2019,-87.62370000000001,41.79861700000001
Institute for Nonviolence Chicago,"4926 W Chicago Ave, Chicago, IL 60651",773-417-7421,NA,NA,60651,FALSE,"c(-87.7493632, 41.8951902)",15TH,FALSE,07/10/2019,-87.74936319999999,41.8951902
New Bread of Life C.O.G.I.C.,"5734 W Division St, Chicago, IL 60651",773-287-4951,NA,NA,60651,FALSE,"c(-87.7695301, 41.9023623)",25TH,FALSE,07/10/2019,-87.7695301,41.9023623
New Jerusalem Baptist Church,"3859 N Central Ave, Chicago, IL 60634",773-725-0014,NA,NA,60634,FALSE,"c(-87.766587, 41.951208)",16TH,FALSE,07/10/2019,-87.766587,41.951208
New Life/Speak Life Church,"2930 W Flournoy St, Chicago, IL 60612",773-722-5338,NA,NA,60612,FALSE,"c(-87.6998947, 41.8730858)",11TH,FALSE,07/10/2019,-87.6998947,41.8730858
WESTSIDE YOUTH NETWORK,"3616 S Halsted St, Chicago, IL 60609",312-842-5242,NA,NA,60609,FALSE,"c(-87.6462862, 41.8281317)",9TH,FALSE,07/10/2019,-87.64628619999999,41.8281317
Philadelphia M.B. Church,"3329 W Washington Blvd, Chicago, IL 60624",773-265-9593,NA,NA,60624,FALSE,"c(-87.7097568, 41.8825064)",11TH,FALSE,07/10/2019,-87.7097568,41.8825064
Archer Heights Library,"5055 S Archer Ave, Chicago, IL 60632",312-747-9241,NA,NA,60632,FALSE,"c(-87.7266121, 41.8008995)",8TH,FALSE,07/10/2019,-87.7266121,41.8008995
ABRAXAS YOUTH & FAMILY SERVICES (WOODRIDGE),"2221 64th St, Woodridge, IL 60517",630-824-4507,Joanne Marks,NA,60517,FALSE,"c(-88.0397856, 41.7684312)",NA,FALSE,07/10/2019,-88.03978560000002,41.76843119999999
"ADELANTE, INC.",2332 N. Milwaukee Ave,773-486-0031,NA,NA,NA,FALSE,"c(-87.6986993, 41.9234714)",14TH,FALSE,07/10/2019,-87.6986993,41.9234714
AMELIORATED WEALTH OF WISDOM,"1158 W Taylor St. Chicago, IL 60607",773-301-5061,Yasmeen Strudivant,NA,60607,FALSE,"c(-87.6565107, 41.8695906)",12TH,FALSE,07/10/2019,-87.6565107,41.8695906
A Little Bit of Heaven,"11321 S Wentworth Ave, Chicago, IL 60628",773-264-5332,Shelia Braxton,alvohsbraxton@comcast.net,60628,FALSE,"c(-87.6274688, 41.6882101)",5TH,FALSE,07/10/2019,-87.6274688,41.6882101
ALTERNATIVE ACADEMIC ACHIEVEMENT ACADEMY,"13801 Chatham St, Blue Island, IL 60406",708-206-0000,Trinity Clark,tclark@aaaacadamy.org,60406,FALSE,"c(-87.6745998, 41.6418484)",NA,FALSE,07/10/2019,-87.6745998,41.6418484
ASSOCIATION HOUSE,"1116 N Kedzie Ave, Chicago, IL 60651",773-772-7170,"Tanya Wadw, Clinical Director",twadw@associationhouse.org,60651,FALSE,"c(-87.7075243, 41.9016102)",11TH,FALSE,07/10/2019,-87.7075243,41.9016102
AUNT MARTHAS-PARK FOREST,440 Forest Boulevard Park Forest Illinois 60466,877-692-8686,Lisa Mackey,lmackey@auntmarthas.org,60466,FALSE,"c(-87.6782855, 41.4824241)",NA,FALSE,07/10/2019,-87.6782855,41.4824241
CATHOLIC CHARITIES-Cook County-Chicago,"1120 W. 79th St.Chicago, IL 60621",773-846-3018,Fitz Gerald Craan,fcrann@catholiccharities.net,60621,FALSE,"c(-87.6521135, 41.7507333)",6TH,FALSE,07/10/2019,-87.6521135,41.7507333
CATHOLIC CHARITIES-Cook County-Chicago,"5533 S. Sawyer Ave. Chicago, IL 60629",773-349-8835,Mari Gonzalaz,marigonzalaz@catholiccharities.net,60629,FALSE,"c(-87.7044449, 41.7924612)",8TH,FALSE,07/10/2019,-87.7044449,41.7924612
CPS RE-ENGAGEMENT PROGRAM,"3948 W. 26th Street, Suite 213",773-542-9030,Mary K Bradley,mbradley15@cps.edu,NA,FALSE,"c(-87.7239078, 41.8444013)",10TH,FALSE,07/10/2019,-87.72390779999999,41.8444013
CPS RE-ENGAGEMENT PROGRAM,"2622 W. Jackson Blvd, 2nd Fl",773-265-0560,Mary K Bradley,mbradley15@cps.edu,NA,FALSE,"c(-87.6920393, 41.8777725)",11TH,FALSE,07/10/2019,-87.69203929999999,41.8777725
CPS RE-ENGAGEMENT PROGRAM,"2622 W. Jackson Boulevard, 2nd Floor",773-291-1086,Mary K Bradley,mbradley15@cps.edu,NA,FALSE,"c(-87.6920393, 41.8777725)",11TH,FALSE,07/10/2019,-87.69203929999999,41.8777725
CPS RE-ENGAGEMENT PROGRAM,"945 W. 69th Street, 2nd Fl",773-358-3248,Mary K Bradley,mbradley15@cps.edu,NA,FALSE,"c(-87.6489412, 41.7684651)",7TH,FALSE,07/10/2019,-87.6489412,41.7684651
CYC Rebecca K. Crown Youth Ctr,"7601 S Phillips Ave, Chicago, IL 60649",773-731-0444,Roberta Douglas,roberta.douglas@chicagoyouth Ctr.org,60649,FALSE,"c(-87.5646901, 41.756925)",4TH,FALSE,07/10/2019,-87.56469009999999,41.756925
Delta/Summit Learning,"3940 W. Midlothian Turnpike Crestwood, IL 60418",708-424-2000,Joseph Fowler,joe.fowler@chfd218.org,60418,FALSE,"c(-87.7170772, 41.6430436)",NA,FALSE,07/10/2019,-87.71707719999999,41.6430436
Dolton Park District,"721 Engle St, Dolton, IL 60419",708-841-2111,Carolyn Fulgham,cfulgham@doltonparkdistrict.com,60419,FALSE,"c(-87.6040732, 41.6297786)",NA,FALSE,07/10/2019,-87.6040732,41.6297786
Lutheran Church of the Holy Spirit,"1335 W 115th St, Chicago, IL 60643",773-504-4527,Rayford Grady,mmrg2@msn.com,60643,FALSE,"c(-87.655878, 41.6846281)",5TH,FALSE,07/10/2019,-87.655878,41.6846281
METROPOLITAN FAMILY SERVICES,"One North Dearborn, Suite 1000, Chicago, il",312-986-4000,NA,contact@metropolitanfamily.org,NA,FALSE,"c(-87.6290359, 41.8822746)",1ST,FALSE,07/10/2019,-87.62903589999999,41.8822746
METROPOLITAN FAMILY SERVICES,"3843 West 63rd Street Chicago, IL 60629",773-884-3310,"Laurie Sedio, Executive Director",sedioao@metrofamily.org,60629,FALSE,"c(-87.7194936, 41.7784287)",8TH,FALSE,07/10/2019,-87.71949359999999,41.7784287
St. Columbanus Catholic Church,"331 E 71st St, Chicago, IL 60619",773-224-1022,Isaiah Mohone,imohone@stcolumbanus.org,60619,FALSE,"c(-87.6177894, 41.7651837)",3RD,FALSE,07/10/2019,-87.61778939999999,41.7651837
The Miracle Ctr,"2311 N Pulaski Rd, Chicago, IL 60639",773-276-5933,Jay Sanchez,jsanchez@miracleCtr.org,60639,FALSE,"c(-87.726341, 41.923195)",25TH,FALSE,07/10/2019,-87.726341,41.923195
Trumbull Park Homes,"2255 E. 106th St, Chicago, IL 60617",773-375-5538,Darlene Turner,dar@cha.org,60617,FALSE,"c(-87.5650079, 41.7027121)",4TH,FALSE,07/10/2019,-87.5650079,41.7027121
UCAN,"3605 W. Fillmore, Chicago, IL 60624",773-588-0180,Zack Schrantz,zach.schrantz@ucanchicago.org,60624,FALSE,"c(-87.7157492, 41.8678402)",11TH,FALSE,07/10/2019,-87.71574919999999,41.8678402
YMCA (SOUTHSIDE YMCA),"6330 S Stony Island Ave, Chicago, IL 60637",773-947-0700,Cherese Ledet- Executive Director,%20cledet@ymcachicago.org,60637,FALSE,"c(-87.5873112, 41.7796993)",3RD,FALSE,07/10/2019,-87.5873112,41.7796993
AGAPE YOUTH DEVELOPMENT & FAMILY SUPPORT,"NA",NA,NA,NA,NA,FALSE,"c(-95.712891, 37.09024)",NA,FALSE,07/10/2019,-95.712891,37.09024
AUNT MARTHAS-CHATHAM BOYS ERC,"NA",NA,NA,NA,NA,FALSE,"c(-95.712891, 37.09024)",NA,FALSE,07/10/2019,-95.712891,37.09024
AUNT MARTHAS-CHATHAM GIRLS ERC,"NA",NA,NA,NA,NA,FALSE,"c(-95.712891, 37.09024)",NA,FALSE,07/10/2019,-95.712891,37.09024
ONE SUMMER CHICAGO,"NA",NA,NA,NA,NA,FALSE,"c(-95.712891, 37.09024)",NA,FALSE,07/10/2019,-95.712891,37.09024
RIVERSIDE RESOLVE Ctr-CLOSED,"411 W Division St, Manteno, IL 60950",NA,NA,NA,60950,FALSE,"c(-87.8417373, 41.2507787)",NA,FALSE,07/10/2019,-87.8417373,41.2507787
TARKIO ACADEMY in MO,"NA",NA,NA,NA,NA,FALSE,"c(-95.712891, 37.09024)",NA,FALSE,07/10/2019,-95.712891,37.09024
We're Family not found online,"NA",NA,NA,NA,NA,FALSE,"c(-95.712891, 37.09024)",NA,FALSE,07/10/2019,-95.712891,37.09024
Chicago Area Project,"55 E Jackson Blvd  900, Chicago, IL 60604",312-663-3574,NA,NA,60604,FALSE,"c(-87.625823, 41.877862)",1ST,FALSE,07/10/2019,-87.62582300000001,41.877862
AUSTIN FAMILY COUNSELING Ctr,"4909 W Division St   404, Chicago, IL 60651",773-921-7805,NA,NA,60651,FALSE,"c(-87.7492541, 41.9019946)",15TH,FALSE,07/10/2019,-87.7492541,41.90199459999999
YOUTH SERVICE PROJECT (YSP),"3944 W North Ave  2, Chicago, IL 60647",773-772-6270,"Eddy Borrayo, CEO",NA,60647,FALSE,"c(-87.7256116, 41.910035)",25TH,FALSE,07/10/2019,-87.7256116,41.910035
Meals on Wheels,"314 W Superior St  300, Chicago, IL 60654",773-661-4550,NA,NA,60654,FALSE,"c(-87.6364655, 41.8958418)",18TH,FALSE,07/10/2019,-87.6364655,41.8958418
